ordinal,commit_short_hash,reviewed_feature_assignments,subject_and_path_rationale
"1","64998b7","Documentation, requirements/status corrections, architectural decisions","`docs(repo)` changed the project/docs feature corpus."
"2","ebc85b0","Workspace, build graph, platform scaffolds","Bun workspace metadata (`package.json`, `turbo.json`)."
"3","27997a0","Workspace, build graph, platform scaffolds","Shared TS configs/toolchain files."
"4","3bf23d4","Workspace, build graph, platform scaffolds","Tauri application initialization."
"5","a740323","Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop protocol-lab shell (`App.tsx`)."
"6","f25badc","Workspace, build graph, platform scaffolds","Rust workspace boundaries (`Cargo.toml`)."
"7","908d98b","CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI application initialization."
"8","0c6579d","NON-PRODUCT-MAINTENANCE","Native-cache ignore rule only."
"9","577b9e3","Workspace, build graph, platform scaffolds","Android Compose project scaffold."
"10","789f85c","Workspace, build graph, platform scaffolds","iOS SwiftUI project scaffold."
"11","e9d56da","Workspace, build graph, platform scaffolds","Shared package workspace initialization."
"12","4b1d541","NON-PRODUCT-MAINTENANCE","Dependency version pinning."
"13","9ed10e7","Workspace, build graph, platform scaffolds","CI scaffold validation workflow."
"14","de53a4f","NON-PRODUCT-MAINTENANCE","Dependabot scheduling only."
"15","c793c14","Workspace, build graph, platform scaffolds","Initial Rust domain-crate workspace layout."
"16","a44459b","Workspace, build graph, platform scaffolds","Protocol/schema/vector directory scaffold."
"17","e378390","Workspace, build graph, platform scaffolds","Tooling directory scaffold."
"18","b4c8440","Workspace, build graph, platform scaffolds","Verification directory scaffold (`.gitkeep`s)."
"19","8fc5bee","Workspace, build graph, platform scaffolds","Design asset directory scaffold."
"20","ba382af","Workspace, build graph, platform scaffolds","Package TypeScript project configs."
"21","45bb66e","NON-PRODUCT-MAINTENANCE","Empty package-suite setup, not a product capability."
"22","3a94706","NON-PRODUCT-MAINTENANCE","Tauri dependency patch update."
"23","e50f964","NON-PRODUCT-MAINTENANCE","CLI rustfmt-only change."
"24","ad95159","NON-PRODUCT-MAINTENANCE","Desktop lint cleanup."
"25","bf36ad3","NON-PRODUCT-MAINTENANCE","Desktop startup-panic lint documentation."
"26","30c5955","NON-PRODUCT-MAINTENANCE","Xcode build-state ignore rule."
"27","521ba8f","NON-PRODUCT-MAINTENANCE","Gradle-output ignore rule."
"28","435a5ac","Workspace, build graph, platform scaffolds","Android Gradle-wrapper executable setup."
"29","9e192f3","NON-PRODUCT-MAINTENANCE","Android native-state ignore rule."
"30","b41562c","Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Compose/API compatibility adjustment."
"31","294b08d","Documentation, requirements/status corrections, architectural decisions","Membership/channel ADR and architecture documentation."
"32","3562485","Documentation, requirements/status corrections, architectural decisions","Candidate protocol/vector publication."
"33","9211ed5","Identity generation, storage, fingerprints and protected keys","OS-protected device identity/storage implementation."
"34","85c3aa1","Canonical encoding, event IDs, signed events, vectors and inspector","Canonical event profile and inspector/vector paths."
"35","1b2aa61","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","OpenMLS conformance harness in `lattice-mls`."
"36","b073887","Bounded routing, path capability offers, path health and TCP framing","Routing/sync primitive introduction."
"37","a092dda","Android BLE codec, scanning, GATT primitives and nearby service","BLE frame codec, scanner, permissions."
"38","7c337d6","Desktop identity, local Space/message UI, history/search, local paths, relay settings; CLI identity, Space, local send, history/search, relay config, sync/node JSON","Protected identity workflows in both desktop and CLI."
"39","d273f7f","Shared desktop theme and status components","Shared `packages/theme` and `desktop-ui` status components are a genuine UI capability not named in the ledger."
"40","546c102","NON-PRODUCT-MAINTENANCE","Router Cargo metadata clarification."
"41","f270d96","Canonical encoding, event IDs, signed events, vectors and inspector","Checked canonical integer conversion fix."
"42","89e1543","Documentation, requirements/status corrections, architectural decisions","Identity API error documentation."
"43","ec44041","Attachment manifests, receivers, staging quotas, verified chunks","Bounded verified attachment receiver."
"44","ec046a2","CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI MLS state and JSON workflows."
"45","fe7ebf3","CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI JSON output contract test."
"46","d310bb0","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","MLS plaintext/sender-key binding."
"47","5d00c12","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Core signed-event/MLS plaintext binding."
"48","86f4d58","Bounded routing, path capability offers, path health and TCP framing","Platform adapter ports for transport."
"49","fb30631","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Core MLS-bound plaintext performance change."
"50","63c3ace","NON-PRODUCT-MAINTENANCE","Transport contract refactor."
"51","343b314","Documentation, requirements/status corrections, architectural decisions","Implementation-maturity documentation."
"52","8f68674","Canonical encoding, event IDs, signed events, vectors and inspector; Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Event group-reference binding plus event/MLS spec changes."
"53","fb6f29f","Bounded routing, path capability offers, path health and TCP framing","Bounded envelope receive port."
"54","567922a","Documentation, requirements/status corrections, architectural decisions","Authorization prerequisite tracking."
"55","b79f7b2","Canonical encoding, event IDs, signed events, vectors and inspector","MLS group-reference vector."
"56","d8252d7","Identity generation, storage, fingerprints and protected keys","Android Keystore private-key protection."
"57","5dbcbe9","Canonical encoding, event IDs, signed events, vectors and inspector","Protocol-inspector signed-event verification."
"58","6e8f74f","Documentation, requirements/status corrections, architectural decisions","Space/relay candidate-profile documentation."
"59","7e047d8","Documentation, requirements/status corrections, architectural decisions","Protocol freeze-gate clarification."
"60","ca92119","X.509 / RFC 9420 credential validation and PKI issuance workflow; Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Persistent MLS provider state/event transactions; ledger associates it with both credential/MLS lanes."
"61","ed5e808","Text, local encrypted cache, history, send status and edits; Attachment manifests, receivers, staging quotas, verified chunks; Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Authorization added for messages and file manifests in core space handling."
"62","7d2fbb2","NIP-01/NIP-11/NIP-40 relay codec and client","Strict NIP event/capability codecs."
"63","7633c5a","Canonical Space genesis, durable local snapshots and recovery","Atomic local Space creation."
"64","b6ce5a9","NIP-01/NIP-11/NIP-40 relay codec and client","Mailbox-event validation across relay protocol layers."
"65","da3d6bc","Canonical Space genesis, durable local snapshots and recovery","Protected local genesis restoration."
"66","48b646f","NIP-01/NIP-11/NIP-40 relay codec and client; Bounded routing, path capability offers, path health and TCP framing","Relay client and bounded TCP client additions."
"67","5413b14","Android Compose identity/Space/messages/diagnostics/permissions/accessibility; Identity generation, storage, fingerprints and protected keys","Android protected-device identity UI/UniFFI exposure."
"68","24d86ee","Bounded routing, path capability offers, path health and TCP framing","Bounded TCP-peer acceptance."
"69","22b2faf","NON-PRODUCT-MAINTENANCE","Workspace lint-clearing refactor."
"70","92fd401","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Sync overflow-fixture correction."
"71","06b6d0c","Canonical Space genesis, durable local snapshots and recovery","Recoverable local-Space enumeration."
"72","951b8a9","Canonical Space genesis, durable local snapshots and recovery; Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Paged local snapshots exposed on Android."
"73","45d7f71","CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI local-Space cursor validation."
"74","8663d76","Tombstones, reactions, pins, mentions, rich text, parent dependencies, presence/typing, local mutes","Authorized deletion/reaction-removal behavior."
"75","4f9827f","Peer pinning, mismatch handling and unpin; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI peer pinning and Space-command isolation."
"76","187a005","Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop identity-pin and local-Space panels."
"77","2bb2c5c","Peer pinning, mismatch handling and unpin","Persisted/exposed peer pins across surfaces."
