commit,subject,heuristic_subsystem_tags,heuristic_requirement_ids,touched_paths,audit_state,evidence_reference
"64998b7aaf719ebd145bad388c3757a9ec2e72a9","docs(repo): publish project documentation","android-and-mobile;messaging-and-projections;protocol-events-vectors;requirements-and-architecture;spaces-and-mls;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007;MSG;LAT-003;LAT-004;LAT-007;VOC;LAT-016;LAT-017",".gitignore;.markdownlint-cli2.jsonc;docs/PLAN.md;docs/README.md;docs/REQUIREMENTS.md;docs/TECH_STACK.md;docs/TODO.md;docs/UI_UX.md;docs/architecture.md;docs/data/DATA_MODEL.md;docs/decisions/DECISIONS.md;docs/features/README.md;docs/features/cli.md;docs/features/desktop.md;docs/features/files.md;docs/features/identity.md;docs/features/messaging.md;docs/features/mobile.md;docs/features/networking.md;docs/features/spaces.md;docs/features/voice.md;docs/ops/DEPLOYMENT.md;docs/protocol/PROTOCOL.md;docs/quality/TEST_PLAN.md;docs/security/SECURITY_MODEL.md;docs/spec.md;docs/spec2.md","PENDING-AUDIT",""
"ebc85b0744ae4f40c29fcd19e75005e4215a401c","chore(repo): establish Bun workspace metadata","spaces-and-mls","SPC;IDN-004;IDN-008;LAT-003;LAT-007",".bun-version;.gitattributes;.gitignore;.markdownlint-cli2.jsonc;bun.lock;package.json;turbo.json","PENDING-AUDIT",""
"27997a06a648919e81c4bced4639475105545777","build(config): add shared TypeScript tooling","build-repository-maintenance","","biome.json;packages/config/package.json;packages/config/tsconfig.json;packages/config/typescript/base.json;packages/config/typescript/vite-app.json;rust-toolchain.toml","PENDING-AUDIT",""
"3bf23d47d226e96bd4ea172a833bd7ce1b82b140","build(desktop): initialize Tauri application","desktop","DSK;LAT-002;LAT-004","apps/desktop/index.html;apps/desktop/package.json;apps/desktop/src-tauri/.gitignore;apps/desktop/src-tauri/Cargo.toml;apps/desktop/src-tauri/build.rs;apps/desktop/src-tauri/capabilities/default.json;apps/desktop/src-tauri/icons/128x128.png;apps/desktop/src-tauri/icons/128x128@2x.png;apps/desktop/src-tauri/icons/32x32.png;apps/desktop/src-tauri/icons/Square107x107Logo.png;apps/desktop/src-tauri/icons/Square142x142Logo.png;apps/desktop/src-tauri/icons/Square150x150Logo.png;apps/desktop/src-tauri/icons/Square284x284Logo.png;apps/desktop/src-tauri/icons/Square30x30Logo.png;apps/desktop/src-tauri/icons/Square310x310Logo.png;apps/desktop/src-tauri/icons/Square44x44Logo.png;apps/desktop/src-tauri/icons/Square71x71Logo.png;apps/desktop/src-tauri/icons/Square89x89Logo.png;apps/desktop/src-tauri/icons/StoreLogo.png;apps/desktop/src-tauri/icons/icon.icns;apps/desktop/src-tauri/icons/icon.ico;apps/desktop/src-tauri/icons/icon.png;apps/desktop/src-tauri/src/lib.rs;apps/desktop/src-tauri/src/main.rs;apps/desktop/src-tauri/tauri.conf.json;apps/desktop/src/main.tsx;apps/desktop/src/vite-env.d.ts;apps/desktop/tsconfig.json;apps/desktop/vite.config.ts","PENDING-AUDIT",""
"a740323755143f72d1b9c69182e785728499de8c","feat(desktop): add protocol lab shell","desktop;product-feature","DSK;LAT-002;LAT-004","apps/desktop/src/App.css;apps/desktop/src/App.tsx","PENDING-AUDIT",""
"f25badcb77921a28da0a0756ea717099c596dd97","build(rust): define workspace boundaries","spaces-and-mls","SPC;IDN-004;IDN-008;LAT-003;LAT-007","Cargo.toml","PENDING-AUDIT",""
"908d98b5e4e982dd6f2c192cd92173bfd0ee940e","build(cli): initialize Rust command line app","cli-and-node","CLI;NET;LAT-004","apps/cli/Cargo.toml;apps/cli/src/main.rs","PENDING-AUDIT",""
"0c6579db58b792fa01085d4fa337c55d21967a55","chore(repo): ignore native build caches","build-repository-maintenance","",".gitignore","PENDING-AUDIT",""
"577b9e382d71d02817197482fb6d18714c0757b4","build(android): initialize Compose application","android-and-mobile;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;VOC;LAT-016;LAT-017","apps/android/app/build.gradle.kts;apps/android/app/src/main/AndroidManifest.xml;apps/android/app/src/main/kotlin/com/astraive/lattice/MainActivity.kt;apps/android/app/src/main/res/values/strings.xml;apps/android/app/src/main/res/values/themes.xml;apps/android/build.gradle.kts;apps/android/gradle.properties;apps/android/gradle/wrapper/gradle-wrapper.jar;apps/android/gradle/wrapper/gradle-wrapper.properties;apps/android/gradlew;apps/android/gradlew.bat;apps/android/settings.gradle.kts","PENDING-AUDIT",""
"789f85c2ead8cfc3b401f6f3bd955f12ecd2400d","build(ios): initialize SwiftUI application","voice","VOC;LAT-016;LAT-017","apps/ios/Lattice.xcodeproj/project.pbxproj;apps/ios/Lattice.xcodeproj/xcshareddata/xcschemes/Lattice.xcscheme;apps/ios/Lattice/Info.plist;apps/ios/Lattice/LatticeApp.swift","PENDING-AUDIT",""
